feature_name	TCGA-66-2787	TCGA-66-2755	TCGA-34-2596	TCGA-22-1002	TCGA-63-5131	TCGA-22-1005	TCGA-34-5241	TCGA-22-4607	TCGA-34-5240	TCGA-60-2723	TCGA-66-2734	TCGA-21-1079	TCGA-60-2698	TCGA-37-4133	TCGA-43-3394	TCGA-18-3417	TCGA-37-4130	TCGA-21-1080	TCGA-22-4604	TCGA-46-3765
15E1.2	0.6564	0.6423	0.8065	0.2498	0.2386	0.5291	2.0712	0.5231	0.8601	0.8867	1.0338	0.5358	0.5109	1.6381	1.2657	0.74	2.7428	0.7088	1.0107	1.3897
2'-PDE	0.9965	0.633	0.5328	1.0664	1.029	0.2668	0.6324	0.4433	0.3638	0.9503	0.5618	0.4337	0.6935	0.4162	0.6895	0.3747	0.2771	0.9053	0.9713	0.6163
7A5	0.7664	0.0654	0.0363	1.9995	1.8874	2.1803	4.1637	5.1149	0.8291	1.5721	2.5902	0.8878	1.7883	1.9733	2.7702	1.429	0.2329	3.5912	2.2444	3.4687
A1BG	0.5143	0.7278	0.3817	0.4319	0.7842	1.3009	1.7275	0.4118	1.149	0.3134	0.5892	0.9218	0.2498	1.3812	0.0532	1.1193	2.4056	0.0732	0.4328	1.5476
A2BP1	0.1037	0.2513	0.1295	0.048	0.0697	0.066	0.2073	0.2434	0.4156	0.1309	0.0581	0.1293	0.0572	0.0988	0.0373	0.1801	0.5197	0.1184	0.2115	0.0291
A2M	0.6968	0.2732	0.3108	3.297	1.3174	2.4212	1.4054	0.4156	0.5485	0.1631	0.968	0.3405	1.7325	0.1465	0.3709	0.7119	0.6013	0.2107	0.4058	0.1797
A2ML1	2.7195	2.2583	1.8482	1.1681	1.9978	2.7648	0.8757	1.5044	1.7319	2.0659	3.1081	3.0215	2.6552	2.5349	3.6265	3.3153	3.2553	3.2909	1.9505	1.8169
A3GALT2	0.8159	0.607	0.9459	0.2619	0.8592	0.8829	1.4636	1.4323	1.2607	1.1029	1.9325	0.8434	0.9	1.4236	0.8065	1.0069	1.4137	0.6218	1.0954	1.0486
A4GALT	3.1689	2.344	1.4926	0.9762	3.7618	1.6164	2.9942	2.9786	3.4281	1.6752	3.207	2.2756	2.5858	1.7405	2.802	2.4758	0.7089	2.6544	3.0956	2.8971
A4GNT	1.8908	0.7657	0.8302	1.3476	0.9783	1.6051	1.1525	0.9886	1.6509	1.2887	1.4236	0.6695	1.4617	1.5052	0.3672	0.881	0.845	1.2848	1.2156	1.5962
AAAS	0.2181	0.2417	0.1966	0.3738	0.1831	1.223	0.0678	0.1033	0.4221	0.1393	0.1719	0.2901	0.2604	0.2335	0.2255	0.2372	0.2291	0.4647	0.1476	0.2462
AACS	0.3446	0.8886	1.1414	0.1625	0.2151	0.3167	0.9287	0.2975	0.2428	0.1568	0.3969	1.2307	0.2227	0.2332	0.8056	0.3328	0.5412	0.5058	0.2975	0.7036
AADAC	3.3	0.4444	4.0162	4.208	7.8418	3.2409	3.5851	3.9298	2.1868	7.0151	3.131	1.9318	3.8661	7.5905	7.0151	3.5224	5.6768	5.299	4.2386	4.2702
AADACL1	0.7472	1.6392	1.1634	1.6776	1.657	1.308	0.4376	0.6655	1.809	1.6459	1.2948	1.0494	2.1098	2.3834	2.4481	2.6176	2.8302	0.5761	0.6628	0.7459
AADACL2	5.5536	0.1989	4.3029	0.5375	3.0723	0.2614	1.1274	0.7663	1.7648	2.2423	0.3005	0.2671	1.1568	4.0511	4.5892	0.4882	0.7498	2.9197	4.4406	5.6605
AADACL3	1.1407	1.0684	0.9481	0.865	1.8793	0.9236	1.6958	1.6046	2.0149	1.1734	1.8694	1.434	1.0746	1.9042	0.7793	1.818	0.8987	1.0782	1.6541	0.9607
AADACL4	0.1686	0.3729	1.1113	0.3938	0.0959	0.7809	0.3222	0.3431	0.0216	0.3225	0.2537	0.4078	0.5829	0.467	1.0257	0.6429	0.2259	0.5767	0.1186	0.5376
AADAT	0.4779	0.1182	0.5457	0.6056	0.2258	0.1682	0.2529	0.7156	0.4506	0.4273	0.1935	0.2465	0.2844	0.5454	0.2697	0.5699	0.1471	0.324	0.7328	0.1713
AAK1	1.3931	1.1602	0.9601	1.1705	1.3174	0.9167	0.4662	0.4125	0.9816	1.0367	0.6875	1.0887	0.7165	0.9297	0.5103	0.2361	1.0131	0.7684	1.1254	0.7235
AAMP	0.6071	0.2529	1.3182	0.3015	0.7628	0.582	0.4339	0.3299	0.4327	0.8882	0.9379	0.928	0.6318	0.5118	0.468	0.1784	0.2973	1.9152	0.2252	0.4303
AANAT	1.1706	1.4633	1.0421	1.1719	0.9811	1.5384	1.5123	1.3433	1.3927	1.4909	1.2288	0.9097	1.2204	1.9482	1.2765	1.9341	2.5902	1.4408	1.3264	1.3498
AARS	0.1717	0.1242	0.0667	0.0792	0.4904	0.247	0.099	0.1297	0.0912	0.1259	0.083	0.1653	0.122	0.2041	0.0751	0.1675	0.0148	0.1682	0.0955	0.1302
AARS2	0.3795	0.3361	0.1814	0.4658	0.2272	0.4332	0.2719	0.2912	0.3496	0.1358	0.2899	0.1864	0.1523	0.3643	0.2732	0.4461	1.2481	0.2831	0.446	0.2931
AARSD1	0.193	0.3215	0.1918	0.4187	0.4812	0.1275	0.1762	0.0844	0.1502	0.1237	0.0795	0.1784	0.2091	0.1871	0.2911	0.4234	0.2317	0.164	0.1367	0.2637
AASDH	2.2339	1.4015	1.6462	1.2292	0.466	0.9566	1.0171	0.5751	0.5141	0.8365	0.3787	1.379	0.2362	1.5888	1.0489	0.3298	2.0544	0.5321	2.0824	2.0743
AASDHPPT	0.5928	0.4059	0.1845	0.2962	0.3356	0.1498	0.4766	0.268	0.2347	0.2611	0.4975	0.5446	0.1867	0.3787	0.6369	0.0988	0.1657	0.3915	0.3261	0.3582
AASS	0.3923	0.1365	1.3377	2.833	3.2395	1.3821	0.4526	0.0441	0.0712	0.6938	0.4093	0.3171	0.156	0.4638	1.2154	0.0906	0.6844	0.9448	0.3667	0.9275
AATF	0.6748	0.2738	0.6519	0.4738	1.5721	0.4398	0.1239	0.0662	0.1992	0.3417	0.2126	0.5621	0.2722	0.1743	0.2801	0.4063	0.048	0.5905	0.5044	0.1858
AATK	0.8589	0.2529	0.3183	0.4748	0.5202	0.5274	0.5646	0.3275	0.7632	0.4031	0.6563	0.2969	0.4126	1.1755	0.5718	0.8612	1.0857	0.5418	0.3634	0.622
ABAT	0.0323	0.0366	0.103	0.0889	0.0391	0.0641	0.2223	0.1346	0.1636	0.0217	0.1301	0.2758	0.0995	0.1527	0.1032	0.0755	0.9058	0.042	0.0323	0.0205
ABBA-1	0.4366	0.4594	0.8841	0.4313	0.6312	1.467	0.2262	0.5949	0.5972	1.1963	0.9004	1.5778	0.4397	0.7748	0.4688	0.4346	0.7027	2.0315	0.5795	1.0761
ABCA1	2.6608	1.7767	2.5181	2.3458	2.1452	1.7037	0.7124	0.5627	1.047	2.1509	2.5658	3.0894	2.7221	0.248	2.7246	0.6834	0.9362	2.0196	2.623	1.4208
ABCA10	0.9555	0.6399	0.7264	0.6931	1.6976	0.5788	0.1022	1.0923	0.1184	0.6048	2.5769	0.7153	0.4446	0.8741	0.3459	2.3434	0.7999	0.7153	0.2581	1.1002
ABCA11	0.066	1.2705	0.3354	0.3665	0.1177	0.097	0.1839	0.2445	0.8552	0.0853	0.2637	0.3183	0.2963	0.0447	0.5538	0.3493	1.2891	0.0949	0.1221	0.5489
